Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
China,GDP,1960-12-31T00:00:00,59.72,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1961-12-31T00:00:00,50.06,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1962-12-31T00:00:00,47.21,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1963-12-31T00:00:00,50.71,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1964-12-31T00:00:00,59.71,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1965-12-31T00:00:00,70.44,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1966-12-31T00:00:00,76.72,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1967-12-31T00:00:00,72.88,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1968-12-31T00:00:00,70.85,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1969-12-31T00:00:00,79.71,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1970-12-31T00:00:00,92.6,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1971-12-31T00:00:00,99.8,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1972-12-31T00:00:00,113.69,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1973-12-31T00:00:00,138.54,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1974-12-31T00:00:00,144.18,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1975-12-31T00:00:00,163.43,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1976-12-31T00:00:00,153.94,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1977-12-31T00:00:00,174.94,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1978-12-31T00:00:00,149.54,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1979-12-31T00:00:00,178.28,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1980-12-31T00:00:00,191.15,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1981-12-31T00:00:00,195.87,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1982-12-31T00:00:00,205.09,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1983-12-31T00:00:00,230.69,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1984-12-31T00:00:00,259.95,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1985-12-31T00:00:00,309.49,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1986-12-31T00:00:00,300.76,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1987-12-31T00:00:00,272.97,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1988-12-31T00:00:00,312.35,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1989-12-31T00:00:00,347.77,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1990-12-31T00:00:00,360.86,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1991-12-31T00:00:00,383.37,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1992-12-31T00:00:00,426.92,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1993-12-31T00:00:00,444.73,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1994-12-31T00:00:00,564.32,Yearly,WGDPCHIN,2018-01-10T17:34:00
China,GDP,1995-12-31T00:00:00,734.55,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1996-12-31T00:00:00,863.75,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1997-12-31T00:00:00,961.6,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1998-12-31T00:00:00,1029.04,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,1999-12-31T00:00:00,1094,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2000-12-31T00:00:00,1211.35,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2001-12-31T00:00:00,1339.4,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2002-12-31T00:00:00,1470.55,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2003-12-31T00:00:00,1660.29,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2004-12-31T00:00:00,1955.35,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2005-12-31T00:00:00,2285.97,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2006-12-31T00:00:00,2752.13,Yearly,WGDPCHIN,2017-01-04T14:10:00
China,GDP,2007-12-31T00:00:00,3550.34,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2008-12-31T00:00:00,4594.31,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2009-12-31T00:00:00,5101.7,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2010-12-31T00:00:00,6087.16,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2011-12-31T00:00:00,7551.5,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2012-12-31T00:00:00,8532.23,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2013-12-31T00:00:00,9570.41,Yearly,WGDPCHIN,2019-07-01T14:55:00
China,GDP,2014-12-31T00:00:00,10475.68,Yearly,WGDPCHIN,2020-07-02T11:55:00
China,GDP,2015-12-31T00:00:00,11061.55,Yearly,WGDPCHIN,2020-07-02T11:55:00
China,GDP,2016-12-31T00:00:00,11233.28,Yearly,WGDPCHIN,2020-07-02T11:55:00
China,GDP,2017-12-31T00:00:00,12310.41,Yearly,WGDPCHIN,2020-07-02T11:55:00
China,GDP,2018-12-31T00:00:00,13894.82,Yearly,WGDPCHIN,2020-07-02T11:55:00
China,GDP,2019-12-31T00:00:00,14279.94,Yearly,WGDPCHIN,2021-07-05T14:28:00
China,GDP,2020-12-31T00:00:00,14687.67,Yearly,WGDPCHIN,2022-07-06T21:52:00
China,GDP,2021-12-31T00:00:00,17734.06,Yearly,WGDPCHIN,2022-07-06T22:06:00
