Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,GDP,1970-12-31T00:00:00,215.84,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1971-12-31T00:00:00,249.99,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1972-12-31T00:00:00,299.8,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1973-12-31T00:00:00,398.37,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1974-12-31T00:00:00,445.3,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1975-12-31T00:00:00,490.64,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1976-12-31T00:00:00,519.75,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1977-12-31T00:00:00,600.5,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1978-12-31T00:00:00,740.47,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1979-12-31T00:00:00,881.35,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1980-12-31T00:00:00,950.29,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1981-12-31T00:00:00,800.47,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1982-12-31T00:00:00,776.58,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1983-12-31T00:00:00,770.68,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1984-12-31T00:00:00,725.11,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1985-12-31T00:00:00,732.53,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1986-12-31T00:00:00,1046.26,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1987-12-31T00:00:00,1298.18,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1988-12-31T00:00:00,1401.23,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1989-12-31T00:00:00,1398.97,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1990-12-31T00:00:00,1771.67,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1991-12-31T00:00:00,1868.95,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1992-12-31T00:00:00,2131.57,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1993-12-31T00:00:00,2071.32,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1994-12-31T00:00:00,2205.07,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1995-12-31T00:00:00,2585.79,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1996-12-31T00:00:00,2497.24,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1997-12-31T00:00:00,2211.99,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1998-12-31T00:00:00,2238.99,Yearly,WGDPGERM,2020-07-02T11:59:00
Germany,GDP,1999-12-31T00:00:00,2194.95,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2000-12-31T00:00:00,1947.98,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2001-12-31T00:00:00,1945.79,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2002-12-31T00:00:00,2078.48,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2003-12-31T00:00:00,2501.64,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2004-12-31T00:00:00,2814.35,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2005-12-31T00:00:00,2846.86,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2006-12-31T00:00:00,2994.7,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2007-12-31T00:00:00,3425.58,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2008-12-31T00:00:00,3745.26,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2009-12-31T00:00:00,3411.26,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2010-12-31T00:00:00,3399.67,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2011-12-31T00:00:00,3749.31,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2012-12-31T00:00:00,3527.14,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2013-12-31T00:00:00,3733.8,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2014-12-31T00:00:00,3889.09,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2015-12-31T00:00:00,3357.59,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2016-12-31T00:00:00,3469.85,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2017-12-31T00:00:00,3690.85,Yearly,WGDPGERM,2022-07-11T14:58:00
Germany,GDP,2018-12-31T00:00:00,3974.44,Yearly,WGDPGERM,2022-12-30T12:46:00
Germany,GDP,2019-12-31T00:00:00,3888.23,Yearly,WGDPGERM,2022-12-30T12:46:00
Germany,GDP,2020-12-31T00:00:00,3889.67,Yearly,WGDPGERM,2022-12-30T12:46:00
Germany,GDP,2021-12-31T00:00:00,4259.93,Yearly,WGDPGERM,2022-12-30T12:46:00
