Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Money Supply M2,1960-01-31T00:00:00,34.4,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-02-29T00:00:00,34.7,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-03-31T00:00:00,34.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-04-30T00:00:00,35,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-05-31T00:00:00,35.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-06-30T00:00:00,35.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-07-31T00:00:00,35.5,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-08-31T00:00:00,35.6,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-09-30T00:00:00,35.7,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-10-31T00:00:00,36,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-11-30T00:00:00,36.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1960-12-31T00:00:00,36.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-01-31T00:00:00,36.4,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-02-28T00:00:00,37.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-03-31T00:00:00,37.4,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-04-30T00:00:00,37.7,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-05-31T00:00:00,38.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-06-30T00:00:00,38.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-07-31T00:00:00,39,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-08-31T00:00:00,39.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-09-30T00:00:00,39.6,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-10-31T00:00:00,39.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-11-30T00:00:00,40,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1961-12-31T00:00:00,41,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-01-31T00:00:00,40.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-02-28T00:00:00,41.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-03-31T00:00:00,41.5,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-04-30T00:00:00,42,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-05-31T00:00:00,42.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-06-30T00:00:00,42.5,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-07-31T00:00:00,42.7,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-08-31T00:00:00,42.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-09-30T00:00:00,43.2,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-10-31T00:00:00,43.4,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-11-30T00:00:00,43.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1962-12-31T00:00:00,44,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-01-31T00:00:00,43.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-02-28T00:00:00,44.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-03-31T00:00:00,43.9,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-04-30T00:00:00,44.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-05-31T00:00:00,44.5,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-06-30T00:00:00,44.9,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-07-31T00:00:00,45.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-08-31T00:00:00,45.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-09-30T00:00:00,46,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-10-31T00:00:00,46.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-11-30T00:00:00,46.4,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1963-12-31T00:00:00,47,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-01-31T00:00:00,47,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-02-29T00:00:00,47.2,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-03-31T00:00:00,47.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-04-30T00:00:00,47.6,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-05-31T00:00:00,47.9,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-06-30T00:00:00,48.5,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-07-31T00:00:00,48.8,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-08-31T00:00:00,49,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-09-30T00:00:00,49,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-10-31T00:00:00,49.3,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-11-30T00:00:00,49.6,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
Germany,Money Supply M2,1964-12-31T00:00:00,50.1,Monthly,GERMANYMONSUPM2,2012-09-28T20:55:00
