Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Argentina,GDP,1962-12-31T00:00:00,24.45,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1963-12-31T00:00:00,18.27,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1964-12-31T00:00:00,25.61,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1965-12-31T00:00:00,28.34,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1966-12-31T00:00:00,28.63,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1967-12-31T00:00:00,24.26,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1968-12-31T00:00:00,26.44,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1969-12-31T00:00:00,31.26,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1970-12-31T00:00:00,31.58,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1971-12-31T00:00:00,33.29,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1972-12-31T00:00:00,34.73,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1973-12-31T00:00:00,52.54,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1974-12-31T00:00:00,72.44,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1975-12-31T00:00:00,52.44,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1976-12-31T00:00:00,51.17,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1977-12-31T00:00:00,56.78,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1978-12-31T00:00:00,58.08,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1979-12-31T00:00:00,69.25,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1980-12-31T00:00:00,76.96,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1981-12-31T00:00:00,78.68,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1982-12-31T00:00:00,84.31,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1983-12-31T00:00:00,103.98,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1984-12-31T00:00:00,79.09,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1985-12-31T00:00:00,88.42,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1986-12-31T00:00:00,110.93,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1987-12-31T00:00:00,111.11,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1988-12-31T00:00:00,126.21,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1989-12-31T00:00:00,76.64,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1990-12-31T00:00:00,141.35,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1991-12-31T00:00:00,189.72,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1992-12-31T00:00:00,228.79,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1993-12-31T00:00:00,236.74,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1994-12-31T00:00:00,257.44,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1995-12-31T00:00:00,258.03,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1996-12-31T00:00:00,272.15,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1997-12-31T00:00:00,292.86,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1998-12-31T00:00:00,298.95,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,1999-12-31T00:00:00,283.52,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2000-12-31T00:00:00,284.2,Yearly,WGDPARGE,2021-07-07T11:07:00
Argentina,GDP,2001-12-31T00:00:00,268.7,Yearly,WGDPARGE,2021-07-07T11:07:00
Argentina,GDP,2002-12-31T00:00:00,97.72,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2003-12-31T00:00:00,127.59,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2004-12-31T00:00:00,164.66,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2005-12-31T00:00:00,198.74,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2006-12-31T00:00:00,232.56,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2007-12-31T00:00:00,287.53,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2008-12-31T00:00:00,361.56,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2009-12-31T00:00:00,332.98,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2010-12-31T00:00:00,423.63,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2011-12-31T00:00:00,530.16,Yearly,WGDPARGE,2021-11-15T15:20:00
Argentina,GDP,2012-12-31T00:00:00,545.98,Yearly,WGDPARGE,2021-11-15T15:20:00
