Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,GDP,1960-12-31T00:00:00,18.61,Yearly,WGDPAUST,2022-07-11T13:09:00
Australia,GDP,1961-12-31T00:00:00,19.68,Yearly,WGDPAUST,2022-07-11T13:09:00
Australia,GDP,1962-12-31T00:00:00,19.92,Yearly,WGDPAUST,2022-07-11T13:09:00
Australia,GDP,1963-12-31T00:00:00,21.54,Yearly,WGDPAUST,2022-07-11T13:09:00
Australia,GDP,1964-12-31T00:00:00,23.8,Yearly,WGDPAUST,2018-07-05T15:10:00
Australia,GDP,1965-12-31T00:00:00,25.97,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1966-12-31T00:00:00,27.31,Yearly,WGDPAUST,2022-07-11T13:09:00
Australia,GDP,1967-12-31T00:00:00,30.44,Yearly,WGDPAUST,2022-07-11T13:09:00
Australia,GDP,1968-12-31T00:00:00,32.71,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1969-12-31T00:00:00,36.68,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1970-12-31T00:00:00,41.33,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1971-12-31T00:00:00,45.21,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1972-12-31T00:00:00,52.04,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1973-12-31T00:00:00,63.83,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1974-12-31T00:00:00,88.96,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1975-12-31T00:00:00,97.3,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1976-12-31T00:00:00,105.07,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1977-12-31T00:00:00,110.35,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1978-12-31T00:00:00,118.5,Yearly,WGDPAUST,2022-12-30T12:46:00
Australia,GDP,1979-12-31T00:00:00,134.9,Yearly,WGDPAUST,2022-12-30T12:46:00
