Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,Money Supply M3,1965-03-31T00:00:00,10.36,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-04-30T00:00:00,10.37,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-05-31T00:00:00,10.41,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-06-30T00:00:00,10.47,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-07-31T00:00:00,10.46,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-08-31T00:00:00,10.51,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-09-30T00:00:00,10.55,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-10-31T00:00:00,10.59,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-11-30T00:00:00,10.64,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1965-12-31T00:00:00,10.69,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-01-31T00:00:00,10.74,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-02-28T00:00:00,10.89,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-03-31T00:00:00,10.87,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-04-30T00:00:00,10.94,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-05-31T00:00:00,11.01,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-06-30T00:00:00,11.07,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-07-31T00:00:00,11.14,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-08-31T00:00:00,11.25,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-09-30T00:00:00,11.31,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-10-31T00:00:00,11.39,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-11-30T00:00:00,11.46,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
Australia,Money Supply M3,1966-12-31T00:00:00,11.51,Monthly,AUSTRALIAMONSUPM3,2022-09-27T10:42:00
