Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Brazil,GDP,1960-12-31T00:00:00,17.03,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1961-12-31T00:00:00,17.28,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1962-12-31T00:00:00,19.23,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1963-12-31T00:00:00,23.29,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1964-12-31T00:00:00,20.96,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1965-12-31T00:00:00,22.47,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1966-12-31T00:00:00,28.28,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1967-12-31T00:00:00,31.09,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1968-12-31T00:00:00,33.93,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1969-12-31T00:00:00,37.17,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1970-12-31T00:00:00,42.33,Yearly,WGDPBRAZ,2021-11-15T15:23:00
Brazil,GDP,1971-12-31T00:00:00,48.87,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1972-12-31T00:00:00,58.43,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1973-12-31T00:00:00,83.59,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1974-12-31T00:00:00,109.79,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1975-12-31T00:00:00,129.2,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1976-12-31T00:00:00,153.17,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1977-12-31T00:00:00,176.34,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1978-12-31T00:00:00,200.28,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1979-12-31T00:00:00,221.34,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1980-12-31T00:00:00,237.39,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1981-12-31T00:00:00,258.02,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1982-12-31T00:00:00,271.31,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1983-12-31T00:00:00,189.66,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1984-12-31T00:00:00,188.34,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1985-12-31T00:00:00,176.12,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1986-12-31T00:00:00,215.88,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1987-12-31T00:00:00,237.52,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1988-12-31T00:00:00,258.82,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1989-12-31T00:00:00,347.03,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1990-12-31T00:00:00,390.73,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1991-12-31T00:00:00,342.61,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1992-12-31T00:00:00,328.19,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1993-12-31T00:00:00,368.3,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1994-12-31T00:00:00,525.37,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1995-12-31T00:00:00,769.33,Yearly,WGDPBRAZ,2022-07-11T14:45:00
Brazil,GDP,1996-12-31T00:00:00,850.43,Yearly,WGDPBRAZ,2021-07-07T11:13:00
Brazil,GDP,1997-12-31T00:00:00,883.21,Yearly,WGDPBRAZ,2022-07-11T14:45:00
