Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Brazil,Money Supply M2,1988-07-29T00:00:00,0.01,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1988-08-31T00:00:00,0.01,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1988-09-30T00:00:00,0.01,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1988-10-31T00:00:00,0.01,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1988-11-30T00:00:00,0.01,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1988-12-30T00:00:00,0.02,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-01-31T00:00:00,0.02,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-02-28T00:00:00,0.02,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-03-31T00:00:00,0.03,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-04-30T00:00:00,0.03,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-05-31T00:00:00,0.03,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-06-30T00:00:00,0.04,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-07-31T00:00:00,0.05,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-08-31T00:00:00,0.06,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-09-29T00:00:00,0.08,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-10-31T00:00:00,0.11,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-11-30T00:00:00,0.15,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1989-12-29T00:00:00,0.24,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-01-31T00:00:00,0.35,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-02-28T00:00:00,0.66,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-03-30T00:00:00,0.96,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-04-30T00:00:00,0.91,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-05-31T00:00:00,1.02,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-06-29T00:00:00,1.15,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-07-31T00:00:00,1.29,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
Brazil,Money Supply M2,1990-08-31T00:00:00,1.49,Monthly,BRAZILMONSUPM2,2015-01-10T19:54:00
