Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,GDP,1960-12-31T00:00:00,40.46,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1961-12-31T00:00:00,40.93,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1962-12-31T00:00:00,42.23,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1963-12-31T00:00:00,45.03,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1964-12-31T00:00:00,49.38,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1965-12-31T00:00:00,54.52,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1966-12-31T00:00:00,61.09,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1967-12-31T00:00:00,65.67,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1968-12-31T00:00:00,71.83,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1969-12-31T00:00:00,79.15,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1970-12-31T00:00:00,87.9,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1971-12-31T00:00:00,99.27,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1972-12-31T00:00:00,113.08,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1973-12-31T00:00:00,131.32,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1974-12-31T00:00:00,160.41,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1975-12-31T00:00:00,173.83,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1976-12-31T00:00:00,206.58,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1977-12-31T00:00:00,211.61,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1978-12-31T00:00:00,218.63,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1979-12-31T00:00:00,243.07,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1980-12-31T00:00:00,273.85,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1981-12-31T00:00:00,306.21,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1982-12-31T00:00:00,313.51,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1983-12-31T00:00:00,340.55,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1984-12-31T00:00:00,355.37,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1985-12-31T00:00:00,364.76,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1986-12-31T00:00:00,377.44,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1987-12-31T00:00:00,431.32,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1988-12-31T00:00:00,507.35,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1989-12-31T00:00:00,565.06,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1990-12-31T00:00:00,593.93,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1991-12-31T00:00:00,610.33,Yearly,WGDPCANA,2021-11-15T15:24:00
Canada,GDP,1992-12-31T00:00:00,592.39,Yearly,WGDPCANA,2021-11-15T15:24:00
