Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Money Supply M2,1968-01-31T00:00:00,25523,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-02-29T00:00:00,25788,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-03-29T00:00:00,25915,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-03-31T00:00:00,25915,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1968-04-30T00:00:00,26197,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-05-31T00:00:00,26602,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-06-30T00:00:00,26892,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-07-31T00:00:00,27317,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-08-30T00:00:00,27872,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-08-31T00:00:00,27872,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1968-09-30T00:00:00,28016,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-10-31T00:00:00,28313,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-11-29T00:00:00,28672,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1968-11-30T00:00:00,28672,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1968-12-31T00:00:00,28966,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1969-01-31T00:00:00,29429,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-02-28T00:00:00,29559,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-03-31T00:00:00,29819,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-04-30T00:00:00,29905,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-05-30T00:00:00,30048,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1969-05-31T00:00:00,30185,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-06-30T00:00:00,30143,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-07-31T00:00:00,30338,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-08-29T00:00:00,30568,Monthly,CANADAMONSUPM2,2015-01-10T21:09:00
Canada,Money Supply M2,1969-08-31T00:00:00,30456,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
Canada,Money Supply M2,1969-09-30T00:00:00,30997,Monthly,CANADAMONSUPM2,2019-01-23T12:59:00
