Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
China,Money Supply M2,1996-01-31T00:00:00,5840.1,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-02-29T00:00:00,6377.8,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-03-29T00:00:00,6451.1,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-03-31T00:00:00,6451.1,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1996-04-30T00:00:00,6572.3,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-05-31T00:00:00,6688,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-06-30T00:00:00,6813.2,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-07-31T00:00:00,6934.6,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-08-30T00:00:00,7230.9,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-08-31T00:00:00,7230.9,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1996-09-30T00:00:00,6964.3,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-10-31T00:00:00,7315.22,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-11-29T00:00:00,7414.2,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1996-11-30T00:00:00,7414.2,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1996-12-31T00:00:00,7609.49,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-01-31T00:00:00,7833.15,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-02-28T00:00:00,7868.07,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-03-31T00:00:00,7973.58,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-04-30T00:00:00,8067.9,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-05-30T00:00:00,8116.86,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-05-31T00:00:00,8116.86,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1997-06-30T00:00:00,8281.15,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-07-31T00:00:00,8345.85,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-08-29T00:00:00,8474.59,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-08-31T00:00:00,8474.59,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1997-09-30T00:00:00,8589.24,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-10-31T00:00:00,8664.43,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-11-30T00:00:00,8759.03,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1997-12-31T00:00:00,9099.53,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-01-30T00:00:00,9221.14,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-01-31T00:00:00,9221.14,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1998-02-28T00:00:00,9202.37,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-03-31T00:00:00,9203.78,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-04-30T00:00:00,9266.15,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-05-29T00:00:00,9393.61,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-05-31T00:00:00,9393.61,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1998-06-30T00:00:00,9465.76,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-07-31T00:00:00,9631.39,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-08-31T00:00:00,9729.87,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-09-30T00:00:00,9979.45,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-10-30T00:00:00,10087.5,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-10-31T00:00:00,10087.5,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1998-11-30T00:00:00,10222.9,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1998-12-31T00:00:00,10449.9,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-01-29T00:00:00,10550,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-01-31T00:00:00,10550,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
China,Money Supply M2,1999-02-28T00:00:00,10777.8,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-03-31T00:00:00,10843.8,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-04-30T00:00:00,10921.8,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-05-31T00:00:00,11006.1,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-06-30T00:00:00,11136.4,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-07-30T00:00:00,11141.4,Monthly,CHINAMONSUPM2,2015-01-10T22:55:00
China,Money Supply M2,1999-07-31T00:00:00,11141.4,Monthly,CHINAMONSUPM2,2020-03-11T10:24:00
