Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,GDP,1960-12-31T00:00:00,244.83,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1961-12-31T00:00:00,268.97,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1962-12-31T00:00:00,298.82,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1963-12-31T00:00:00,335.34,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1964-12-31T00:00:00,373.02,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1965-12-31T00:00:00,407.74,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1966-12-31T00:00:00,444.88,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1967-12-31T00:00:00,483.42,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1968-12-31T00:00:00,518.99,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1969-12-31T00:00:00,579.33,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1970-12-31T00:00:00,642.62,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1971-12-31T00:00:00,728.35,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1972-12-31T00:00:00,879.87,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1973-12-31T00:00:00,1142.24,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1974-12-31T00:00:00,1295.37,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1975-12-31T00:00:00,1502,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1976-12-31T00:00:00,1567.5,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1977-12-31T00:00:00,1782.98,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1978-12-31T00:00:00,2183.34,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1979-12-31T00:00:00,2644.83,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1980-12-31T00:00:00,2962.18,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1981-12-31T00:00:00,2574.38,Yearly,WGDPEURO,2022-12-30T12:46:00
Euro Area,GDP,1982-12-31T00:00:00,2492.5,Yearly,WGDPEURO,2022-12-30T12:46:00
Euro Area,GDP,1983-12-31T00:00:00,2431.61,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1984-12-31T00:00:00,2332.4,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1985-12-31T00:00:00,2396.18,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1986-12-31T00:00:00,3362.91,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1987-12-31T00:00:00,4159.43,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1988-12-31T00:00:00,4574.52,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1989-12-31T00:00:00,4672.69,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1990-12-31T00:00:00,5880.69,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1991-12-31T00:00:00,6114.12,Yearly,WGDPEURO,2022-07-11T15:01:00
Euro Area,GDP,1992-12-31T00:00:00,6745.62,Yearly,WGDPEURO,2022-07-11T15:01:00
