Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Money Supply M2,1980-01-31T00:00:00,1070496,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-02-29T00:00:00,1078232,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-03-31T00:00:00,1088333,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-04-30T00:00:00,1093263,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-05-31T00:00:00,1100958,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-06-30T00:00:00,1109205,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-07-31T00:00:00,1120452,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-08-31T00:00:00,1127098,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-09-30T00:00:00,1133419,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-10-31T00:00:00,1145159,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-11-30T00:00:00,1160031,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1980-12-31T00:00:00,1165452,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-01-31T00:00:00,1175008,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-02-28T00:00:00,1186668,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-03-31T00:00:00,1194414,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-04-30T00:00:00,1204188,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-05-31T00:00:00,1215847,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-06-30T00:00:00,1223076,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-07-31T00:00:00,1230470,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-08-31T00:00:00,1234000,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-09-30T00:00:00,1246150,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-10-31T00:00:00,1253958,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-11-30T00:00:00,1264026,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1981-12-31T00:00:00,1273805,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-01-31T00:00:00,1287848,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-02-28T00:00:00,1299092,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-03-31T00:00:00,1313351,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-04-30T00:00:00,1326733,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-05-31T00:00:00,1334764,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-06-30T00:00:00,1347524,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-07-31T00:00:00,1358609,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-08-31T00:00:00,1372472,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
Euro Area,Money Supply M2,1982-09-30T00:00:00,1382740,Monthly,EMUEVOLVMONSUPM2,2020-01-03T10:19:00
