Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
France,GDP,1960-12-31T00:00:00,62.23,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1961-12-31T00:00:00,67.46,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1962-12-31T00:00:00,75.61,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1963-12-31T00:00:00,84.76,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1964-12-31T00:00:00,94.01,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1965-12-31T00:00:00,101.54,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1966-12-31T00:00:00,110.05,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1967-12-31T00:00:00,118.97,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1968-12-31T00:00:00,129.79,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1969-12-31T00:00:00,141.9,Yearly,WGDPFRAN,2020-07-02T12:13:00
France,GDP,1970-12-31T00:00:00,148.46,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1971-12-31T00:00:00,165.97,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1972-12-31T00:00:00,203.49,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1973-12-31T00:00:00,264.43,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1974-12-31T00:00:00,285.55,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1975-12-31T00:00:00,360.83,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1976-12-31T00:00:00,372.32,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1977-12-31T00:00:00,410.28,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1978-12-31T00:00:00,506.71,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1979-12-31T00:00:00,613.95,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1980-12-31T00:00:00,701.29,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1981-12-31T00:00:00,615.55,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1982-12-31T00:00:00,584.88,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1983-12-31T00:00:00,559.87,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1984-12-31T00:00:00,530.68,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1985-12-31T00:00:00,553.14,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1986-12-31T00:00:00,771.47,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1987-12-31T00:00:00,934.17,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1988-12-31T00:00:00,1018.85,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1989-12-31T00:00:00,1025.21,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1990-12-31T00:00:00,1269.18,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1991-12-31T00:00:00,1269.28,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1992-12-31T00:00:00,1401.47,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1993-12-31T00:00:00,1322.82,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1994-12-31T00:00:00,1393.98,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1995-12-31T00:00:00,1601.09,Yearly,WGDPFRAN,2019-07-01T15:54:00
France,GDP,1996-12-31T00:00:00,1605.68,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1997-12-31T00:00:00,1452.88,Yearly,WGDPFRAN,2019-07-01T15:54:00
France,GDP,1998-12-31T00:00:00,1503.11,Yearly,WGDPFRAN,2018-07-05T15:25:00
France,GDP,1999-12-31T00:00:00,1493.15,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2000-12-31T00:00:00,1365.64,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2001-12-31T00:00:00,1377.66,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2002-12-31T00:00:00,1501.41,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2003-12-31T00:00:00,1844.54,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2004-12-31T00:00:00,2119.63,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2005-12-31T00:00:00,2196.95,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2006-12-31T00:00:00,2320.54,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2007-12-31T00:00:00,2660.59,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2008-12-31T00:00:00,2930.3,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2009-12-31T00:00:00,2700.89,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2010-12-31T00:00:00,2645.19,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2011-12-31T00:00:00,2865.16,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2012-12-31T00:00:00,2683.67,Yearly,WGDPFRAN,2022-07-11T15:08:00
France,GDP,2013-12-31T00:00:00,2811.88,Yearly,WGDPFRAN,2022-07-11T15:08:00
