Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
France,Money Supply M2,1980-01-31T00:00:00,264462,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-02-29T00:00:00,263286,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-03-31T00:00:00,265918,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-04-30T00:00:00,267992,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-05-31T00:00:00,267605,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-06-30T00:00:00,272864,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-07-31T00:00:00,274915,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-08-31T00:00:00,273797,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-09-30T00:00:00,278719,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-10-31T00:00:00,282021,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-11-30T00:00:00,284325,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1980-12-31T00:00:00,296322,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1981-01-31T00:00:00,293873,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1981-02-28T00:00:00,293879,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1981-03-31T00:00:00,295357,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
France,Money Supply M2,1981-04-30T00:00:00,299874,Monthly,FRANCEMONSUPM2,2012-09-28T20:47:00
