Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
India,GDP,1960-12-31T00:00:00,37.03,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1961-12-31T00:00:00,39.23,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1962-12-31T00:00:00,42.16,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1963-12-31T00:00:00,48.42,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1964-12-31T00:00:00,56.48,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1965-12-31T00:00:00,59.55,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1966-12-31T00:00:00,45.87,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1967-12-31T00:00:00,50.13,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1968-12-31T00:00:00,53.09,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1969-12-31T00:00:00,58.45,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1970-12-31T00:00:00,62.42,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1971-12-31T00:00:00,67.35,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1972-12-31T00:00:00,71.46,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1973-12-31T00:00:00,85.52,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1974-12-31T00:00:00,99.53,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1975-12-31T00:00:00,98.47,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1976-12-31T00:00:00,102.72,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1977-12-31T00:00:00,121.49,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1978-12-31T00:00:00,137.3,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1979-12-31T00:00:00,152.99,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1980-12-31T00:00:00,186.33,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1981-12-31T00:00:00,193.49,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1982-12-31T00:00:00,200.72,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1983-12-31T00:00:00,218.26,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1984-12-31T00:00:00,212.16,Yearly,WGDPINDI,2019-07-01T15:00:00
India,GDP,1985-12-31T00:00:00,232.51,Yearly,WGDPINDI,2019-07-01T15:00:00
