Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
India,Money Supply M2,1991-11-30T00:00:00,1127.49,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1991-12-31T00:00:00,1134.12,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-01-31T00:00:00,1157.44,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-02-29T00:00:00,1183.03,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-03-31T00:00:00,1190.26,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-04-30T00:00:00,1240.63,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-05-31T00:00:00,1294.94,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-06-30T00:00:00,1263.97,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-07-31T00:00:00,1257.93,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-08-31T00:00:00,1228.62,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-09-30T00:00:00,1208.93,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-10-31T00:00:00,1230.18,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-11-30T00:00:00,1233.69,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1992-12-31T00:00:00,1208.41,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-01-31T00:00:00,1233.31,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-02-28T00:00:00,1241.31,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-03-31T00:00:00,1287.41,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-04-30T00:00:00,1375.42,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-05-31T00:00:00,1380.67,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-06-30T00:00:00,1361.41,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-07-31T00:00:00,1357.16,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-08-31T00:00:00,1329.77,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-09-30T00:00:00,1352.05,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-10-31T00:00:00,1360.82,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-11-30T00:00:00,1413.59,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1993-12-31T00:00:00,1421.09,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-01-31T00:00:00,1471.27,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-02-28T00:00:00,1521.53,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-03-31T00:00:00,1558.94,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-04-30T00:00:00,1626.68,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-05-31T00:00:00,1663.07,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-06-30T00:00:00,1678.19,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-07-31T00:00:00,1690.87,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
India,Money Supply M2,1994-08-31T00:00:00,1633.32,Monthly,INDIAMONSUPM2,2012-09-28T21:37:00
