Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Indonesia,GDP,1967-12-31T00:00:00,5.67,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1968-12-31T00:00:00,7.08,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1969-12-31T00:00:00,8.34,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1970-12-31T00:00:00,9.15,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1971-12-31T00:00:00,9.33,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1972-12-31T00:00:00,11,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1973-12-31T00:00:00,16.27,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1974-12-31T00:00:00,25.8,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1975-12-31T00:00:00,30.46,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1976-12-31T00:00:00,37.27,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1977-12-31T00:00:00,45.81,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1978-12-31T00:00:00,51.46,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1979-12-31T00:00:00,51.4,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1980-12-31T00:00:00,72.48,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1981-12-31T00:00:00,85.52,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1982-12-31T00:00:00,90.16,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1983-12-31T00:00:00,81.05,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1984-12-31T00:00:00,84.85,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1985-12-31T00:00:00,85.29,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1986-12-31T00:00:00,79.95,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1987-12-31T00:00:00,75.93,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1988-12-31T00:00:00,84.3,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1989-12-31T00:00:00,94.45,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1990-12-31T00:00:00,106.14,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1991-12-31T00:00:00,116.62,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1992-12-31T00:00:00,128.03,Yearly,WGDPINDO,2018-07-04T15:49:00
Indonesia,GDP,1993-12-31T00:00:00,158.01,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1994-12-31T00:00:00,176.89,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1995-12-31T00:00:00,202.13,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1996-12-31T00:00:00,227.37,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1997-12-31T00:00:00,215.75,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1998-12-31T00:00:00,95.45,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,1999-12-31T00:00:00,140,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,2000-12-31T00:00:00,165.02,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,2001-12-31T00:00:00,160.45,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,2002-12-31T00:00:00,195.66,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,2003-12-31T00:00:00,234.77,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,2004-12-31T00:00:00,256.84,Yearly,WGDPINDO,2015-07-06T17:17:00
Indonesia,GDP,2005-12-31T00:00:00,285.87,Yearly,WGDPINDO,2015-07-06T17:17:00
