Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Indonesia,Money Supply M2,1980-01-31T00:00:00,5551,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-02-29T00:00:00,5156,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-03-31T00:00:00,5903,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-04-30T00:00:00,6032,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-05-31T00:00:00,6276,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-06-30T00:00:00,6480,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-07-31T00:00:00,6953,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-08-31T00:00:00,7084,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-09-30T00:00:00,7307,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-10-31T00:00:00,7500,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-11-30T00:00:00,7540,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1980-12-31T00:00:00,7691,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-01-31T00:00:00,7774,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-02-28T00:00:00,7875,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-03-31T00:00:00,7906,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-04-30T00:00:00,7985,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-05-31T00:00:00,8202,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-06-30T00:00:00,8361,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
Indonesia,Money Supply M2,1981-07-31T00:00:00,8648,Monthly,INDONESIAMONSUPM2,2012-09-28T21:44:00
