Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Italy,GDP,1960-12-31T00:00:00,40.39,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1961-12-31T00:00:00,44.84,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1962-12-31T00:00:00,50.38,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1963-12-31T00:00:00,57.71,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1964-12-31T00:00:00,63.18,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1965-12-31T00:00:00,67.98,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1966-12-31T00:00:00,73.65,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1967-12-31T00:00:00,81.13,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1968-12-31T00:00:00,87.94,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1969-12-31T00:00:00,97.09,Yearly,WGDPITAL,2016-07-11T15:58:00
Italy,GDP,1970-12-31T00:00:00,113.4,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1971-12-31T00:00:00,124.67,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1972-12-31T00:00:00,145.26,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1973-12-31T00:00:00,175.49,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1974-12-31T00:00:00,199.56,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1975-12-31T00:00:00,227.7,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1976-12-31T00:00:00,224.72,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1977-12-31T00:00:00,257.6,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1978-12-31T00:00:00,315.06,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1979-12-31T00:00:00,393.68,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1980-12-31T00:00:00,477.26,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1981-12-31T00:00:00,430.7,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1982-12-31T00:00:00,427.27,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1983-12-31T00:00:00,443.04,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1984-12-31T00:00:00,437.89,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1985-12-31T00:00:00,452.22,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1986-12-31T00:00:00,640.39,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1987-12-31T00:00:00,805.71,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1988-12-31T00:00:00,891.61,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1989-12-31T00:00:00,928.66,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1990-12-31T00:00:00,1181.22,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1991-12-31T00:00:00,1246.22,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1992-12-31T00:00:00,1320.16,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1993-12-31T00:00:00,1064.96,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1994-12-31T00:00:00,1099.22,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1995-12-31T00:00:00,1174.66,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1996-12-31T00:00:00,1312.43,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1997-12-31T00:00:00,1241.88,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1998-12-31T00:00:00,1270.05,Yearly,WGDPITAL,2020-07-02T16:05:00
Italy,GDP,1999-12-31T00:00:00,1252.45,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2000-12-31T00:00:00,1146.68,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2001-12-31T00:00:00,1168.02,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2002-12-31T00:00:00,1276.77,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2003-12-31T00:00:00,1577.62,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2004-12-31T00:00:00,1806.54,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2005-12-31T00:00:00,1858.22,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2006-12-31T00:00:00,1949.55,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2007-12-31T00:00:00,2213.1,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2008-12-31T00:00:00,2408.66,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2009-12-31T00:00:00,2199.93,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2010-12-31T00:00:00,2136.1,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2011-12-31T00:00:00,2294.99,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2012-12-31T00:00:00,2086.96,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2013-12-31T00:00:00,2141.92,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2014-12-31T00:00:00,2162.01,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2015-12-31T00:00:00,1836.64,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2016-12-31T00:00:00,1877.07,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2017-12-31T00:00:00,1961.8,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2018-12-31T00:00:00,2091.93,Yearly,WGDPITAL,2022-07-11T15:09:00
Italy,GDP,2019-12-31T00:00:00,2011.3,Yearly,WGDPITAL,2022-12-30T12:46:00
Italy,GDP,2020-12-31T00:00:00,1896.76,Yearly,WGDPITAL,2022-12-30T12:46:00
Italy,GDP,2021-12-31T00:00:00,2107.7,Yearly,WGDPITAL,2022-12-30T12:46:00
