Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Italy,Money Supply M2,1980-01-31T00:00:00,133376,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-02-29T00:00:00,132635,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-03-31T00:00:00,133472,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-04-30T00:00:00,134331,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-05-30T00:00:00,133025,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-06-30T00:00:00,134412,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-07-31T00:00:00,134833,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-08-29T00:00:00,134394,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-09-30T00:00:00,134835,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-10-31T00:00:00,136284,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-11-30T00:00:00,137819,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1980-12-31T00:00:00,153229,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-01-30T00:00:00,150886,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-02-28T00:00:00,150639,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-03-31T00:00:00,150530,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-04-30T00:00:00,149692,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-05-29T00:00:00,148647,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-06-30T00:00:00,149502,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-07-31T00:00:00,148656,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-08-31T00:00:00,147330,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-09-30T00:00:00,149253,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-10-30T00:00:00,149839,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-11-30T00:00:00,150683,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1981-12-31T00:00:00,168972,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-01-29T00:00:00,165417,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-02-28T00:00:00,164406,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-03-31T00:00:00,164265,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-04-30T00:00:00,165257,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-05-31T00:00:00,164657,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-06-30T00:00:00,167760,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-07-30T00:00:00,169490,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-08-31T00:00:00,169995,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-09-30T00:00:00,173763,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-10-29T00:00:00,176325,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-11-30T00:00:00,180902,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1982-12-31T00:00:00,202328,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-01-31T00:00:00,198386,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-02-28T00:00:00,196193,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-03-31T00:00:00,195103,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-04-29T00:00:00,195419,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-05-31T00:00:00,193774,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-06-30T00:00:00,197868,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-07-29T00:00:00,199781,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-08-31T00:00:00,200696,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-09-30T00:00:00,203572,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-10-31T00:00:00,204934,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-11-30T00:00:00,204286,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1983-12-30T00:00:00,227881,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-01-31T00:00:00,222360,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-02-29T00:00:00,217932,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-03-30T00:00:00,218327,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-04-30T00:00:00,218107,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-05-31T00:00:00,216608,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-06-29T00:00:00,219297,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-07-31T00:00:00,220847,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-08-31T00:00:00,220510,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-09-30T00:00:00,229136,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-10-31T00:00:00,231344,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-11-30T00:00:00,232081,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1984-12-31T00:00:00,257396,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-01-31T00:00:00,256420,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-02-28T00:00:00,252858,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-03-29T00:00:00,253487,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-04-30T00:00:00,255073,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-05-31T00:00:00,252278,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-06-30T00:00:00,255672,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-07-31T00:00:00,257339,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-08-30T00:00:00,256831,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-09-30T00:00:00,260432,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-10-31T00:00:00,261232,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-11-29T00:00:00,262502,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1985-12-31T00:00:00,284104,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1986-01-31T00:00:00,279277,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1986-02-28T00:00:00,273965,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
Italy,Money Supply M2,1986-03-31T00:00:00,273155,Monthly,ITALYMONSUPM2,2015-01-11T02:24:00
