Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,Money Supply M2,1960-01-31T00:00:00,8488,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-02-29T00:00:00,8404,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-03-31T00:00:00,8661,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-04-30T00:00:00,8777,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-05-31T00:00:00,8839,Monthly,JAPANMONSUPM2,2015-01-11T04:05:00
Japan,Money Supply M2,1960-06-30T00:00:00,8994,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-07-31T00:00:00,9148,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-08-31T00:00:00,9155,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-09-30T00:00:00,9420,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-10-31T00:00:00,9531,Monthly,JAPANMONSUPM2,2015-01-11T04:05:00
Japan,Money Supply M2,1960-11-30T00:00:00,9757,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1960-12-31T00:00:00,10420,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1961-01-31T00:00:00,10195,Monthly,JAPANMONSUPM2,2015-01-11T04:05:00
Japan,Money Supply M2,1961-02-28T00:00:00,10291,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1961-03-31T00:00:00,10645,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
Japan,Money Supply M2,1961-04-30T00:00:00,10914,Monthly,JAPANMONSUPM2,2015-01-11T04:05:00
Japan,Money Supply M2,1961-05-31T00:00:00,10883,Monthly,JAPANMONSUPM2,2012-09-28T22:44:00
