Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Mexico,Money Supply M2,1985-12-31T00:00:00,15370409,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-01-31T00:00:00,15657637,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-02-28T00:00:00,16278181,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-03-31T00:00:00,17402686,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-04-30T00:00:00,18303098,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-05-30T00:00:00,19322367,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-06-30T00:00:00,20201435,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-07-31T00:00:00,21314201,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-08-29T00:00:00,22806242,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-09-30T00:00:00,24213141,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-10-31T00:00:00,26502523,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-11-30T00:00:00,28667050,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1986-12-31T00:00:00,31917280,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-01-30T00:00:00,33764580,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-02-28T00:00:00,36470753,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-03-31T00:00:00,39518607,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-04-30T00:00:00,43225213,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-05-29T00:00:00,46622809,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-06-30T00:00:00,51125416,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-07-31T00:00:00,55251725,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-08-31T00:00:00,59256523,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-09-30T00:00:00,63569353,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-10-30T00:00:00,68812252,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-11-30T00:00:00,72216014,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1987-12-31T00:00:00,79840773,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-01-29T00:00:00,82590973,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-02-29T00:00:00,91226258,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-03-31T00:00:00,98878863,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-04-29T00:00:00,103202152,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-05-31T00:00:00,107250272,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-06-30T00:00:00,109067669,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-07-29T00:00:00,108628013,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-08-31T00:00:00,108477536,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-09-30T00:00:00,111032126,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-10-31T00:00:00,111806286,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-11-30T00:00:00,115697343,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1988-12-30T00:00:00,121604243,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-01-31T00:00:00,125717628,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-02-28T00:00:00,129195416,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-03-31T00:00:00,132238026,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-04-30T00:00:00,140597650,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-05-31T00:00:00,142495686,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-06-30T00:00:00,149516558,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-07-31T00:00:00,158338016,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
Mexico,Money Supply M2,1989-08-31T00:00:00,160498379,Monthly,MEXICOMONSUPM2,2020-07-29T11:02:00
