Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Netherlands,GDP,1960-12-31T00:00:00,12.28,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1961-12-31T00:00:00,13.49,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1962-12-31T00:00:00,14.65,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1963-12-31T00:00:00,15.89,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1964-12-31T00:00:00,18.7,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1965-12-31T00:00:00,21,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1966-12-31T00:00:00,22.87,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1967-12-31T00:00:00,25.09,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1968-12-31T00:00:00,27.82,Yearly,WGDPNETH,2016-07-11T16:19:00
Netherlands,GDP,1969-12-31T00:00:00,34.04,Yearly,WGDPNETH,2020-07-02T14:38:00
Netherlands,GDP,1970-12-31T00:00:00,38.16,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1971-12-31T00:00:00,44.58,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1972-12-31T00:00:00,54.71,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1973-12-31T00:00:00,71.84,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1974-12-31T00:00:00,87.24,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1975-12-31T00:00:00,100.25,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1976-12-31T00:00:00,109.17,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1977-12-31T00:00:00,127.02,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1978-12-31T00:00:00,155.86,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1979-12-31T00:00:00,179.67,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1980-12-31T00:00:00,195.15,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1981-12-31T00:00:00,164.13,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1982-12-31T00:00:00,158.48,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1983-12-31T00:00:00,153.45,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1984-12-31T00:00:00,143.91,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1985-12-31T00:00:00,143.85,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1986-12-31T00:00:00,200.86,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1987-12-31T00:00:00,245.05,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1988-12-31T00:00:00,261.91,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1989-12-31T00:00:00,258.34,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1990-12-31T00:00:00,318.33,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1991-12-31T00:00:00,327.5,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1992-12-31T00:00:00,362.96,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1993-12-31T00:00:00,353.55,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1994-12-31T00:00:00,379.13,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1995-12-31T00:00:00,452.3,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1996-12-31T00:00:00,450.49,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1997-12-31T00:00:00,416.81,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1998-12-31T00:00:00,438.01,Yearly,WGDPNETH,2019-07-01T16:38:00
Netherlands,GDP,1999-12-31T00:00:00,447.05,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2000-12-31T00:00:00,417.48,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2001-12-31T00:00:00,431.59,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2002-12-31T00:00:00,473.86,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2003-12-31T00:00:00,580.07,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2004-12-31T00:00:00,658.38,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2005-12-31T00:00:00,685.35,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2006-12-31T00:00:00,733.96,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2007-12-31T00:00:00,848.56,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2008-12-31T00:00:00,951.87,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2009-12-31T00:00:00,871.52,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2010-12-31T00:00:00,847.38,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2011-12-31T00:00:00,905.27,Yearly,WGDPNETH,2022-07-20T09:34:00
Netherlands,GDP,2012-12-31T00:00:00,838.92,Yearly,WGDPNETH,2022-07-20T09:34:00
