Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Netherlands,Money Supply M2,1982-12-31T00:00:00,102486,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-01-31T00:00:00,103969,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-02-28T00:00:00,104381,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-03-31T00:00:00,107653,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-04-29T00:00:00,108706,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-05-31T00:00:00,110297,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-06-30T00:00:00,110345,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-07-29T00:00:00,108201,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-08-31T00:00:00,107292,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-09-30T00:00:00,107218,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-10-31T00:00:00,106986,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-11-30T00:00:00,108464,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1983-12-30T00:00:00,107104,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1984-01-31T00:00:00,107968,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1984-02-29T00:00:00,109646,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1984-03-30T00:00:00,111039,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1984-04-30T00:00:00,113657,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
Netherlands,Money Supply M2,1984-05-31T00:00:00,116195,Monthly,NETHERLANDMONSUPM2,2015-01-11T11:07:00
