Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Russia,GDP,1988-12-31T00:00:00,554.71,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1989-12-31T00:00:00,506.5,Yearly,WGDPRUSS,2017-01-12T14:46:00
Russia,GDP,1990-12-31T00:00:00,516.81,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1991-12-31T00:00:00,517.96,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1992-12-31T00:00:00,460.29,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1993-12-31T00:00:00,435.08,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1994-12-31T00:00:00,395.08,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1995-12-31T00:00:00,395.54,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1996-12-31T00:00:00,391.72,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1997-12-31T00:00:00,404.93,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1998-12-31T00:00:00,270.96,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,1999-12-31T00:00:00,195.91,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2000-12-31T00:00:00,259.71,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2001-12-31T00:00:00,306.6,Yearly,WGDPRUSS,2017-01-12T14:46:00
Russia,GDP,2002-12-31T00:00:00,345.47,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2003-12-31T00:00:00,430.35,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2004-12-31T00:00:00,591.02,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2005-12-31T00:00:00,764.02,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2006-12-31T00:00:00,989.93,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2007-12-31T00:00:00,1299.71,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2008-12-31T00:00:00,1660.85,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2009-12-31T00:00:00,1222.64,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2010-12-31T00:00:00,1524.92,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2011-12-31T00:00:00,2045.93,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2012-12-31T00:00:00,2208.3,Yearly,WGDPRUSS,2020-07-02T15:22:00
Russia,GDP,2013-12-31T00:00:00,2292.47,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2014-12-31T00:00:00,2059.24,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2015-12-31T00:00:00,1363.48,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2016-12-31T00:00:00,1276.79,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2017-12-31T00:00:00,1574.2,Yearly,WGDPRUSS,2020-07-02T15:22:00
Russia,GDP,2018-12-31T00:00:00,1657.33,Yearly,WGDPRUSS,2021-07-05T16:55:00
Russia,GDP,2019-12-31T00:00:00,1693.11,Yearly,WGDPRUSS,2022-07-11T15:06:00
Russia,GDP,2020-12-31T00:00:00,1488.32,Yearly,WGDPRUSS,2022-07-06T21:52:00
Russia,GDP,2021-12-31T00:00:00,1775.8,Yearly,WGDPRUSS,2022-07-06T22:06:00
