Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Russia,Money Supply M2,1992-12-31T00:00:00,6.5,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-01-31T00:00:00,7.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-02-28T00:00:00,8.4,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-03-31T00:00:00,9.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-04-30T00:00:00,11.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-05-31T00:00:00,14.5,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-06-30T00:00:00,13.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-07-31T00:00:00,19.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-08-31T00:00:00,22.3,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-09-30T00:00:00,22.9,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-10-31T00:00:00,25.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-11-30T00:00:00,28,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1993-12-31T00:00:00,33.2,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-01-31T00:00:00,35.5,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-02-28T00:00:00,37,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-03-31T00:00:00,40.3,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-04-30T00:00:00,47.3,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-05-31T00:00:00,53.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-06-30T00:00:00,60.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-07-31T00:00:00,65.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-08-31T00:00:00,72.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-09-30T00:00:00,78.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-10-31T00:00:00,82.5,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-11-30T00:00:00,86.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1994-12-31T00:00:00,97.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-01-31T00:00:00,93.5,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-02-28T00:00:00,101.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-03-31T00:00:00,107.2,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-04-30T00:00:00,123.2,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-05-31T00:00:00,138.2,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-06-30T00:00:00,156.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-07-31T00:00:00,165,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-08-31T00:00:00,173.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-09-30T00:00:00,179.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-10-31T00:00:00,184.1,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-11-30T00:00:00,195.1,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1995-12-31T00:00:00,220.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-01-31T00:00:00,216.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-02-29T00:00:00,229.2,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-03-31T00:00:00,241.7,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-04-30T00:00:00,251,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-05-31T00:00:00,254.2,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-06-30T00:00:00,266.9,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-07-31T00:00:00,271.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-08-31T00:00:00,275.3,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-09-30T00:00:00,276.1,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-10-31T00:00:00,278.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-11-30T00:00:00,282.4,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1996-12-31T00:00:00,288.3,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-01-31T00:00:00,289.9,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-02-28T00:00:00,299.5,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-03-31T00:00:00,305.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-04-30T00:00:00,317.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-05-31T00:00:00,328.4,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-06-30T00:00:00,352,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-07-31T00:00:00,363,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-08-31T00:00:00,364.6,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-09-30T00:00:00,363,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
Russia,Money Supply M2,1997-10-31T00:00:00,368.8,Monthly,RUSSIAMONSUPM2,2022-04-29T17:38:00
