Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Saudi Arabia,GDP,1968-12-31T00:00:00,4.19,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1969-12-31T00:00:00,4.49,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1970-12-31T00:00:00,5.38,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1971-12-31T00:00:00,7.18,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1972-12-31T00:00:00,9.66,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1973-12-31T00:00:00,14.95,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1974-12-31T00:00:00,45.41,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1975-12-31T00:00:00,46.77,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1976-12-31T00:00:00,64.01,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1977-12-31T00:00:00,74.19,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1978-12-31T00:00:00,80.27,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1979-12-31T00:00:00,111.86,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1980-12-31T00:00:00,164.54,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1981-12-31T00:00:00,184.29,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1982-12-31T00:00:00,153.24,Yearly,WGDPSAUD,2017-07-03T12:45:00
Saudi Arabia,GDP,1983-12-31T00:00:00,129.17,Yearly,WGDPSAUD,2015-07-07T13:07:00
Saudi Arabia,GDP,1984-12-31T00:00:00,119.62,Yearly,WGDPSAUD,2015-07-07T13:07:00
