Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Saudi Arabia,Money Supply M2,1993-01-31T00:00:00,173841,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-02-28T00:00:00,176072,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-03-31T00:00:00,177749,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-04-30T00:00:00,178283,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-05-31T00:00:00,181145,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-06-30T00:00:00,183382,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-07-31T00:00:00,182742,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-08-31T00:00:00,180403,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-09-30T00:00:00,177227,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-10-31T00:00:00,173360,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-11-30T00:00:00,170944,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1993-12-31T00:00:00,169395,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-01-31T00:00:00,171548,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-02-28T00:00:00,177321,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-03-31T00:00:00,173949,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-04-30T00:00:00,173302,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-05-31T00:00:00,176110,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-06-30T00:00:00,175775,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-07-31T00:00:00,175237,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-08-31T00:00:00,173357,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-09-30T00:00:00,173690,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-10-31T00:00:00,175997,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-11-30T00:00:00,176128,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1994-12-31T00:00:00,177062,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1995-01-31T00:00:00,175915,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1995-02-28T00:00:00,181586,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1995-03-31T00:00:00,183521,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1995-04-30T00:00:00,184985,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1995-05-31T00:00:00,186973,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
Saudi Arabia,Money Supply M2,1995-06-30T00:00:00,187209,Monthly,SAUDIARABMONSUPM2,2019-01-28T15:27:00
