Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
South Korea,GDP,1960-12-31T00:00:00,3.96,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1961-12-31T00:00:00,2.42,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1962-12-31T00:00:00,2.81,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1963-12-31T00:00:00,3.99,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1964-12-31T00:00:00,3.46,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1965-12-31T00:00:00,3.12,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1966-12-31T00:00:00,3.93,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1967-12-31T00:00:00,4.86,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1968-12-31T00:00:00,6.12,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1969-12-31T00:00:00,7.68,Yearly,WGDPKORE,2018-01-10T17:43:00
South Korea,GDP,1970-12-31T00:00:00,9.01,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1971-12-31T00:00:00,9.9,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1972-12-31T00:00:00,10.86,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1973-12-31T00:00:00,13.88,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1974-12-31T00:00:00,19.54,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1975-12-31T00:00:00,21.78,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1976-12-31T00:00:00,29.9,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1977-12-31T00:00:00,38.45,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1978-12-31T00:00:00,51.97,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1979-12-31T00:00:00,66.95,Yearly,WGDPKORE,2020-07-02T14:35:00
South Korea,GDP,1980-12-31T00:00:00,65.4,Yearly,WGDPKORE,2020-07-02T14:35:00
