Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
South Korea,Money Supply M2,1970-01-31T00:00:00,590.6,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-02-28T00:00:00,603.1,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-03-31T00:00:00,612.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-04-30T00:00:00,627.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-05-31T00:00:00,644.7,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-06-30T00:00:00,657.6,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-07-31T00:00:00,675.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-08-31T00:00:00,684.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-09-30T00:00:00,696.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-10-31T00:00:00,704.3,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-11-30T00:00:00,716.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1970-12-31T00:00:00,745.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-01-31T00:00:00,751.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-02-28T00:00:00,771.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-03-31T00:00:00,808.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-04-30T00:00:00,841.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-05-31T00:00:00,855.1,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-06-30T00:00:00,868.5,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-07-31T00:00:00,872.6,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-08-31T00:00:00,879.6,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-09-30T00:00:00,913.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-10-31T00:00:00,928.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-11-30T00:00:00,959.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1971-12-31T00:00:00,964.3,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-01-31T00:00:00,1012.3,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-02-29T00:00:00,1019.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-03-31T00:00:00,1038.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-04-30T00:00:00,1050.5,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-05-31T00:00:00,1073.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-06-30T00:00:00,1115.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-07-31T00:00:00,1142.3,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-08-31T00:00:00,1178.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-09-30T00:00:00,1213.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-10-31T00:00:00,1247.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-11-30T00:00:00,1287.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1972-12-31T00:00:00,1283.7,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-01-31T00:00:00,1357.3,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-02-28T00:00:00,1397.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-03-31T00:00:00,1437.8,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-04-30T00:00:00,1487.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-05-31T00:00:00,1505.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-06-30T00:00:00,1531.7,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-07-31T00:00:00,1576.6,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-08-31T00:00:00,1594.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-09-30T00:00:00,1637.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-10-31T00:00:00,1702.7,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-11-30T00:00:00,1736.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1973-12-31T00:00:00,1748.6,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-01-31T00:00:00,1778.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-02-28T00:00:00,1811,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-03-31T00:00:00,1821.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-04-30T00:00:00,1845.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-05-31T00:00:00,1871.5,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-06-30T00:00:00,1882.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-07-31T00:00:00,1923,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-08-31T00:00:00,1965.9,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-09-30T00:00:00,2001.4,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-10-31T00:00:00,1989.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
South Korea,Money Supply M2,1974-11-30T00:00:00,2041.2,Monthly,SOUTHKOREMONSUPM2,2012-09-29T01:23:00
