Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,GDP,1960-12-31T00:00:00,12.07,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1961-12-31T00:00:00,13.83,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1962-12-31T00:00:00,16.14,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1963-12-31T00:00:00,19.07,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1964-12-31T00:00:00,21.34,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1965-12-31T00:00:00,24.76,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1966-12-31T00:00:00,28.72,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1967-12-31T00:00:00,31.65,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1968-12-31T00:00:00,31.48,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1969-12-31T00:00:00,36.04,Yearly,WGDPSPAI,2015-07-06T16:12:00
Spain,GDP,1970-12-31T00:00:00,40.99,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1971-12-31T00:00:00,46.62,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1972-12-31T00:00:00,59.13,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1973-12-31T00:00:00,78.64,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1974-12-31T00:00:00,97.27,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1975-12-31T00:00:00,114.78,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1976-12-31T00:00:00,118.51,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1977-12-31T00:00:00,132.45,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1978-12-31T00:00:00,160.6,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1979-12-31T00:00:00,214.6,Yearly,WGDPSPAI,2020-07-02T12:02:00
Spain,GDP,1980-12-31T00:00:00,232.77,Yearly,WGDPSPAI,2020-07-02T12:02:00
