Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Money Supply M2,1997-09-30T00:00:00,297393,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1997-10-31T00:00:00,294870,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1997-11-30T00:00:00,300881,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1997-12-31T00:00:00,304728,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-01-31T00:00:00,297897,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-02-28T00:00:00,305835,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-03-31T00:00:00,301078,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-04-30T00:00:00,297711,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-05-31T00:00:00,304238,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-06-30T00:00:00,306685,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-07-31T00:00:00,305319,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-08-31T00:00:00,303911,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-09-30T00:00:00,308248,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-10-31T00:00:00,308666,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-11-30T00:00:00,323154,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1998-12-31T00:00:00,329522,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-01-31T00:00:00,330112,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-02-28T00:00:00,326338,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-03-31T00:00:00,328872,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-04-30T00:00:00,327912,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-05-31T00:00:00,329929,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-06-30T00:00:00,338560,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-07-31T00:00:00,338872,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-08-31T00:00:00,338063,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-09-30T00:00:00,342788,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-10-31T00:00:00,343595,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-11-30T00:00:00,351304,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,1999-12-31T00:00:00,354734,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-01-31T00:00:00,351177,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-02-29T00:00:00,353889,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-03-31T00:00:00,359403,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-04-30T00:00:00,366315,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-05-31T00:00:00,363089,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-06-30T00:00:00,375906,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-07-31T00:00:00,377224,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-08-31T00:00:00,376194,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-09-30T00:00:00,385849,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-10-31T00:00:00,385253,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-11-30T00:00:00,390607,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2000-12-31T00:00:00,395678,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-01-31T00:00:00,391285,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-02-28T00:00:00,395925,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-03-31T00:00:00,401481,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-04-30T00:00:00,407175,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-05-31T00:00:00,409979,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-06-30T00:00:00,425101,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-07-31T00:00:00,421657,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-08-31T00:00:00,422728,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-09-30T00:00:00,433256,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-10-31T00:00:00,428376,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-11-30T00:00:00,437656,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2001-12-31T00:00:00,450083,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-01-31T00:00:00,441593,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-02-28T00:00:00,446010,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-03-31T00:00:00,454880,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-04-30T00:00:00,454315,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-05-31T00:00:00,455077,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-06-30T00:00:00,469524,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-07-31T00:00:00,462703,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-08-31T00:00:00,463698,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-09-30T00:00:00,467820,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
Spain,Money Supply M2,2002-10-31T00:00:00,470411,Monthly,SPAINMONSUPM2,2012-09-29T01:28:00
