Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Switzerland,GDP,1960-12-31T00:00:00,9.52,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1961-12-31T00:00:00,10.71,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1962-12-31T00:00:00,11.88,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1963-12-31T00:00:00,13.06,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1964-12-31T00:00:00,14.48,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1965-12-31T00:00:00,15.35,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1966-12-31T00:00:00,16.48,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1967-12-31T00:00:00,17.74,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1968-12-31T00:00:00,18.94,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1969-12-31T00:00:00,20.52,Yearly,WGDPSWIT,2015-07-06T16:13:00
Switzerland,GDP,1970-12-31T00:00:00,24.27,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1971-12-31T00:00:00,29.17,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1972-12-31T00:00:00,35.78,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1973-12-31T00:00:00,48.11,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1974-12-31T00:00:00,55.45,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1975-12-31T00:00:00,63.57,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1976-12-31T00:00:00,66.49,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1977-12-31T00:00:00,71.02,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1978-12-31T00:00:00,99.32,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1979-12-31T00:00:00,111.64,Yearly,WGDPSWIT,2019-07-01T17:02:00
Switzerland,GDP,1980-12-31T00:00:00,122.66,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1981-12-31T00:00:00,112.34,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1982-12-31T00:00:00,115.14,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1983-12-31T00:00:00,114.73,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1984-12-31T00:00:00,109.55,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1985-12-31T00:00:00,111.07,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1986-12-31T00:00:00,159.22,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1987-12-31T00:00:00,199.4,Yearly,WGDPSWIT,2021-11-15T15:25:00
Switzerland,GDP,1988-12-31T00:00:00,215.72,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1989-12-31T00:00:00,208.28,Yearly,WGDPSWIT,2021-07-05T17:10:00
Switzerland,GDP,1990-12-31T00:00:00,265.76,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1991-12-31T00:00:00,268.9,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1992-12-31T00:00:00,279.92,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1993-12-31T00:00:00,272.24,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1994-12-31T00:00:00,301.38,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1995-12-31T00:00:00,352.84,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1996-12-31T00:00:00,340.1,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1997-12-31T00:00:00,294.79,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1998-12-31T00:00:00,303.46,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,1999-12-31T00:00:00,297.87,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2000-12-31T00:00:00,279.22,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2001-12-31T00:00:00,286.58,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2002-12-31T00:00:00,309.3,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2003-12-31T00:00:00,362.08,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2004-12-31T00:00:00,403.91,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2005-12-31T00:00:00,418.28,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2006-12-31T00:00:00,441.63,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2007-12-31T00:00:00,490.74,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2008-12-31T00:00:00,567.27,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2009-12-31T00:00:00,554.21,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2010-12-31T00:00:00,598.85,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2011-12-31T00:00:00,715.89,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2012-12-31T00:00:00,686.42,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2013-12-31T00:00:00,706.23,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2014-12-31T00:00:00,726.54,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2015-12-31T00:00:00,694.12,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2016-12-31T00:00:00,687.9,Yearly,WGDPSWIT,2022-12-30T12:46:00
Switzerland,GDP,2017-12-31T00:00:00,695.2,Yearly,WGDPSWIT,2022-12-30T12:46:00
