Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Switzerland,Money Supply M2,1984-12-31T00:00:00,205928,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-01-31T00:00:00,202569,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-02-28T00:00:00,200361,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-03-31T00:00:00,201096,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-04-30T00:00:00,200451,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-05-31T00:00:00,201550,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-06-30T00:00:00,200918,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-07-31T00:00:00,198624,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-08-31T00:00:00,198227,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-09-30T00:00:00,201543,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-10-31T00:00:00,202350,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-11-30T00:00:00,206131,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1985-12-31T00:00:00,213686,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-01-31T00:00:00,212166,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-02-28T00:00:00,212140,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-03-31T00:00:00,212994,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-04-30T00:00:00,214161,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-05-31T00:00:00,214619,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-06-30T00:00:00,214112,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-07-31T00:00:00,211223,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-08-31T00:00:00,212365,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-09-30T00:00:00,215801,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-10-31T00:00:00,218170,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-11-30T00:00:00,221018,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1986-12-31T00:00:00,226444,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-01-31T00:00:00,226575,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-02-28T00:00:00,226243,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-03-31T00:00:00,228005,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-04-30T00:00:00,229750,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-05-31T00:00:00,230695,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-06-30T00:00:00,231458,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-07-31T00:00:00,231017,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-08-31T00:00:00,233200,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-09-30T00:00:00,235922,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-10-31T00:00:00,238401,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-11-30T00:00:00,243435,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1987-12-31T00:00:00,249742,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-01-31T00:00:00,253893,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-02-29T00:00:00,257601,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-03-31T00:00:00,261195,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-04-30T00:00:00,264009,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-05-31T00:00:00,265407,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-06-30T00:00:00,264125,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-07-31T00:00:00,261594,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-08-31T00:00:00,260296,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-09-30T00:00:00,262745,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-10-31T00:00:00,263294,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-11-30T00:00:00,265933,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1988-12-31T00:00:00,264847,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-01-31T00:00:00,259443,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-02-28T00:00:00,256295,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-03-31T00:00:00,256622,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-04-30T00:00:00,252466,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-05-31T00:00:00,248400,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-06-30T00:00:00,244958,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-07-31T00:00:00,239998,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-08-31T00:00:00,239796,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-09-30T00:00:00,242092,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-10-31T00:00:00,239584,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-11-30T00:00:00,241653,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1989-12-31T00:00:00,244852,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-01-31T00:00:00,234583,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-02-28T00:00:00,229872,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-03-31T00:00:00,229021,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-04-30T00:00:00,226400,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-05-31T00:00:00,226220,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-06-30T00:00:00,227570,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-07-31T00:00:00,222303,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-08-31T00:00:00,220728,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-09-30T00:00:00,224927,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-10-31T00:00:00,224387,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-11-30T00:00:00,227930,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1990-12-31T00:00:00,236303,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-01-31T00:00:00,229320,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-02-28T00:00:00,228783,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-03-31T00:00:00,229234,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-04-30T00:00:00,229714,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-05-31T00:00:00,231099,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-06-30T00:00:00,232538,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-07-31T00:00:00,228220,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-08-31T00:00:00,228436,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-09-30T00:00:00,230603,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-10-31T00:00:00,231058,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-11-30T00:00:00,234900,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1991-12-31T00:00:00,242535,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-01-31T00:00:00,237032,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-02-29T00:00:00,237759,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-03-31T00:00:00,237095,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-04-30T00:00:00,236896,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-05-31T00:00:00,236165,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-06-30T00:00:00,235990,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-07-31T00:00:00,229376,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-08-31T00:00:00,229962,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-09-30T00:00:00,235292,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-10-31T00:00:00,238049,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-11-30T00:00:00,245244,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1992-12-31T00:00:00,255466,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-01-31T00:00:00,257560,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-02-28T00:00:00,261858,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-03-31T00:00:00,268917,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-04-30T00:00:00,270928,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-05-31T00:00:00,274177,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-06-30T00:00:00,276329,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-07-31T00:00:00,273954,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-08-31T00:00:00,275895,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-09-30T00:00:00,279623,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-10-31T00:00:00,285644,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-11-30T00:00:00,290698,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1993-12-31T00:00:00,298810,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-01-31T00:00:00,302458,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-02-28T00:00:00,305128,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-03-31T00:00:00,304256,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-04-30T00:00:00,304541,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-05-31T00:00:00,305522,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-06-30T00:00:00,304906,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-07-31T00:00:00,299419,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-08-31T00:00:00,298456,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-09-30T00:00:00,302254,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-10-31T00:00:00,303238,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-11-30T00:00:00,309573,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1994-12-31T00:00:00,313250,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-01-31T00:00:00,310439,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-02-28T00:00:00,309562,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-03-31T00:00:00,307998,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-04-30T00:00:00,309905,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-05-31T00:00:00,313851,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-06-30T00:00:00,315241,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-07-31T00:00:00,314884,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
Switzerland,Money Supply M2,1995-08-31T00:00:00,318348,Monthly,SWITZERLANMONSUPM2,2012-09-29T02:22:00
