Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,GDP,1960-12-31T00:00:00,13.98,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1961-12-31T00:00:00,7.99,Yearly,WGDPTURK,2019-07-01T15:57:00
Turkey,GDP,1962-12-31T00:00:00,8.92,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1963-12-31T00:00:00,10.36,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1964-12-31T00:00:00,11.18,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1965-12-31T00:00:00,11.97,Yearly,WGDPTURK,2019-07-01T15:57:00
Turkey,GDP,1966-12-31T00:00:00,14.1,Yearly,WGDPTURK,2019-07-01T15:57:00
Turkey,GDP,1967-12-31T00:00:00,15.64,Yearly,WGDPTURK,2019-07-01T15:58:00
Turkey,GDP,1968-12-31T00:00:00,17.5,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1969-12-31T00:00:00,19.47,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1970-12-31T00:00:00,17.09,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1971-12-31T00:00:00,16.28,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1972-12-31T00:00:00,20.36,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1973-12-31T00:00:00,25.63,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1974-12-31T00:00:00,35.67,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1975-12-31T00:00:00,44.76,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1976-12-31T00:00:00,51.13,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1977-12-31T00:00:00,58.68,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1978-12-31T00:00:00,65.1,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1979-12-31T00:00:00,89.33,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1980-12-31T00:00:00,68.82,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,1981-12-31T00:00:00,71.04,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1982-12-31T00:00:00,64.55,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1983-12-31T00:00:00,61.68,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1984-12-31T00:00:00,59.99,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1985-12-31T00:00:00,67.23,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1986-12-31T00:00:00,75.73,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1987-12-31T00:00:00,87.17,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1988-12-31T00:00:00,90.85,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1989-12-31T00:00:00,107.14,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1990-12-31T00:00:00,150.68,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1991-12-31T00:00:00,150.03,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1992-12-31T00:00:00,158.46,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1993-12-31T00:00:00,180.17,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1994-12-31T00:00:00,130.69,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1995-12-31T00:00:00,169.49,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1996-12-31T00:00:00,181.48,Yearly,WGDPTURK,2017-01-11T17:32:00
Turkey,GDP,1997-12-31T00:00:00,189.83,Yearly,WGDPTURK,2017-07-03T15:13:00
Turkey,GDP,1998-12-31T00:00:00,275.97,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,1999-12-31T00:00:00,256.39,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2000-12-31T00:00:00,274.3,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2001-12-31T00:00:00,201.75,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2002-12-31T00:00:00,240.25,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2003-12-31T00:00:00,314.59,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2004-12-31T00:00:00,408.88,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2005-12-31T00:00:00,506.31,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2006-12-31T00:00:00,557.06,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2007-12-31T00:00:00,681.34,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2008-12-31T00:00:00,770.46,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2009-12-31T00:00:00,649.27,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2010-12-31T00:00:00,776.99,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2011-12-31T00:00:00,838.76,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2012-12-31T00:00:00,880.56,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2013-12-31T00:00:00,957.78,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2014-12-31T00:00:00,938.95,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2015-12-31T00:00:00,864.32,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2016-12-31T00:00:00,869.69,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2017-12-31T00:00:00,859,Yearly,WGDPTURK,2021-07-05T14:03:00
Turkey,GDP,2018-12-31T00:00:00,778.47,Yearly,WGDPTURK,2022-07-11T15:04:00
Turkey,GDP,2019-12-31T00:00:00,759.94,Yearly,WGDPTURK,2022-12-30T12:46:00
Turkey,GDP,2020-12-31T00:00:00,720.29,Yearly,WGDPTURK,2022-12-30T12:46:00
Turkey,GDP,2021-12-31T00:00:00,819.04,Yearly,WGDPTURK,2022-12-30T12:46:00
