Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,Money Supply M2,2005-12-31T00:00:00,241027834,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-01-31T00:00:00,236620702,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-02-28T00:00:00,242429471,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-03-31T00:00:00,249485702,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-04-30T00:00:00,253351404,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-05-31T00:00:00,277447348,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-06-30T00:00:00,279138790,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-07-31T00:00:00,271617679,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-08-31T00:00:00,274331661,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-09-30T00:00:00,281522261,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-10-31T00:00:00,283870650,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-11-30T00:00:00,290212364,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2006-12-31T00:00:00,297524979,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-01-31T00:00:00,300620776,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-02-28T00:00:00,304895915,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-03-31T00:00:00,306666642,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-04-30T00:00:00,309876512,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-05-31T00:00:00,315167054,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-06-30T00:00:00,323073178,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-07-31T00:00:00,325718523,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-08-31T00:00:00,333372610,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-09-30T00:00:00,331421521,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-10-31T00:00:00,330981316,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-11-30T00:00:00,335477581,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2007-12-31T00:00:00,343417896,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-01-31T00:00:00,346305894,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-02-29T00:00:00,351895613,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-03-31T00:00:00,370313469,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-04-30T00:00:00,375788657,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-05-31T00:00:00,374145144,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-06-30T00:00:00,380758335,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-07-31T00:00:00,381246609,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-08-31T00:00:00,384487478,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-09-30T00:00:00,393992398,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-10-31T00:00:00,413605152,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-11-30T00:00:00,431142208,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2008-12-31T00:00:00,437699247,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
Turkey,Money Supply M2,2009-01-31T00:00:00,436820635,Monthly,TURKEYMONSUPM2,2012-09-29T02:58:00
