Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United Kingdom,GDP,1960-12-31T00:00:00,73.23,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1961-12-31T00:00:00,77.74,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1962-12-31T00:00:00,81.25,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1963-12-31T00:00:00,86.56,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1964-12-31T00:00:00,94.41,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1965-12-31T00:00:00,101.82,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1966-12-31T00:00:00,108.57,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1967-12-31T00:00:00,113.12,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1968-12-31T00:00:00,107.76,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1969-12-31T00:00:00,116.46,Yearly,WGDPUK,2020-02-04T12:02:00
United Kingdom,GDP,1970-12-31T00:00:00,130.67,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1971-12-31T00:00:00,148.11,Yearly,WGDPUK,2017-01-04T14:26:00
United Kingdom,GDP,1972-12-31T00:00:00,169.97,Yearly,WGDPUK,2017-01-04T14:26:00
United Kingdom,GDP,1973-12-31T00:00:00,192.54,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1974-12-31T00:00:00,206.13,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1975-12-31T00:00:00,241.76,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1976-12-31T00:00:00,232.61,Yearly,WGDPUK,2017-01-04T14:26:00
United Kingdom,GDP,1977-12-31T00:00:00,263.07,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1978-12-31T00:00:00,335.88,Yearly,WGDPUK,2017-01-04T14:26:00
United Kingdom,GDP,1979-12-31T00:00:00,438.99,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1980-12-31T00:00:00,564.95,Yearly,WGDPUK,2017-01-04T14:26:00
United Kingdom,GDP,1981-12-31T00:00:00,540.77,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1982-12-31T00:00:00,515.05,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1983-12-31T00:00:00,489.62,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1984-12-31T00:00:00,461.49,Yearly,WGDPUK,2021-11-09T19:51:00
United Kingdom,GDP,1985-12-31T00:00:00,489.29,Yearly,WGDPUK,2021-11-09T19:51:00
