Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United Kingdom,Money Supply M2,1986-12-31T00:00:00,167346,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-01-31T00:00:00,256387,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-02-28T00:00:00,259227,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-03-31T00:00:00,263558,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-04-30T00:00:00,267827,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-05-31T00:00:00,270696,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-06-30T00:00:00,272706,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-07-31T00:00:00,277426,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-08-31T00:00:00,280137,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-09-30T00:00:00,281239,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-10-31T00:00:00,286877,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-11-30T00:00:00,289336,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1987-12-31T00:00:00,291584,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-01-31T00:00:00,295153,Monthly,UNITEDKINMONSUPM2,2021-09-15T15:26:00
United Kingdom,Money Supply M2,1988-02-29T00:00:00,297480,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-03-31T00:00:00,302560,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-04-30T00:00:00,305045,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-05-31T00:00:00,307415,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-06-30T00:00:00,313692,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-07-31T00:00:00,319146,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-08-31T00:00:00,323042,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-09-30T00:00:00,327821,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-10-31T00:00:00,331767,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-11-30T00:00:00,333365,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1988-12-31T00:00:00,339273,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-01-31T00:00:00,343548,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-02-28T00:00:00,349624,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-03-31T00:00:00,353708,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-04-30T00:00:00,357496,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-05-31T00:00:00,363871,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-06-30T00:00:00,375179,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-07-31T00:00:00,377375,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-08-31T00:00:00,384845,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-09-30T00:00:00,389532,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-10-31T00:00:00,396177,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-11-30T00:00:00,398365,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1989-12-31T00:00:00,406096,Monthly,UNITEDKINMONSUPM2,2021-09-15T15:26:00
United Kingdom,Money Supply M2,1990-01-31T00:00:00,411078,Monthly,UNITEDKINMONSUPM2,2021-09-15T15:26:00
United Kingdom,Money Supply M2,1990-02-28T00:00:00,414389,Monthly,UNITEDKINMONSUPM2,2021-09-15T15:26:00
United Kingdom,Money Supply M2,1990-03-31T00:00:00,420831,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-04-30T00:00:00,424488,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-05-31T00:00:00,427456,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-06-30T00:00:00,431401,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-07-31T00:00:00,432318,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-08-31T00:00:00,435026,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-09-30T00:00:00,439553,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-10-31T00:00:00,441296,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-11-30T00:00:00,446453,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1990-12-31T00:00:00,448038,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-01-31T00:00:00,449369,Monthly,UNITEDKINMONSUPM2,2021-09-15T15:26:00
United Kingdom,Money Supply M2,1991-02-28T00:00:00,450805,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-03-31T00:00:00,452892,Monthly,UNITEDKINMONSUPM2,2021-09-15T15:26:00
United Kingdom,Money Supply M2,1991-04-30T00:00:00,454708,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-05-31T00:00:00,457271,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-06-30T00:00:00,458100,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-07-31T00:00:00,457943,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-08-31T00:00:00,459644,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-09-30T00:00:00,461653,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-10-31T00:00:00,460828,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-11-30T00:00:00,461197,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1991-12-31T00:00:00,462476,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-01-31T00:00:00,466076,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-02-29T00:00:00,467471,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-03-31T00:00:00,468718,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-04-30T00:00:00,472082,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-05-31T00:00:00,469296,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-06-30T00:00:00,471863,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
United Kingdom,Money Supply M2,1992-07-31T00:00:00,473181,Monthly,UNITEDKINMONSUPM2,2022-01-20T15:13:00
