Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Belgium;GDP;1960-12-31T00:00:00;11.66;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1961-12-31T00:00:00;12.4;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1962-12-31T00:00:00;13.26;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1963-12-31T00:00:00;14.26;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1964-12-31T00:00:00;15.96;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1965-12-31T00:00:00;17.37;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1966-12-31T00:00:00;18.65;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1967-12-31T00:00:00;19.99;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1968-12-31T00:00:00;21.38;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1969-12-31T00:00:00;23.71;Yearly;WGDPBELG;2016-07-11T15:07:00
Belgium;GDP;1970-12-31T00:00:00;26.71;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1971-12-31T00:00:00;29.82;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1972-12-31T00:00:00;37.21;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1973-12-31T00:00:00;47.74;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1974-12-31T00:00:00;56.03;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1975-12-31T00:00:00;65.68;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1976-12-31T00:00:00;71.11;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1977-12-31T00:00:00;82.84;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1978-12-31T00:00:00;101.25;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1979-12-31T00:00:00;116.32;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1980-12-31T00:00:00;126.83;Yearly;WGDPBELG;2021-11-09T10:42:00
Belgium;GDP;1981-12-31T00:00:00;104.73;Yearly;WGDPBELG;2021-11-09T10:42:00
