Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Poland;GDP;1985-12-31T00:00:00;71;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1986-12-31T00:00:00;73.9;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1987-12-31T00:00:00;63.9;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1988-12-31T00:00:00;68.8;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1989-12-31T00:00:00;82.2;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1990-12-31T00:00:00;65.98;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1991-12-31T00:00:00;85.5;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1992-12-31T00:00:00;94.34;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1993-12-31T00:00:00;96.05;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1994-12-31T00:00:00;110.8;Yearly;WGDPPOLA;2017-01-11T17:15:00
Poland;GDP;1995-12-31T00:00:00;142.29;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;1996-12-31T00:00:00;160.19;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;1997-12-31T00:00:00;159.36;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;1998-12-31T00:00:00;174.69;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;1999-12-31T00:00:00;170.03;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2000-12-31T00:00:00;172.22;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2001-12-31T00:00:00;190.91;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2002-12-31T00:00:00;199.07;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2003-12-31T00:00:00;217.83;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2004-12-31T00:00:00;255.11;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2005-12-31T00:00:00;306.14;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2006-12-31T00:00:00;344.62;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2007-12-31T00:00:00;429.03;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2008-12-31T00:00:00;533.61;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2009-12-31T00:00:00;439.74;Yearly;WGDPPOLA;2021-07-05T16:50:00
Poland;GDP;2010-12-31T00:00:00;475.7;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2011-12-31T00:00:00;524.38;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2012-12-31T00:00:00;495.24;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2013-12-31T00:00:00;515.76;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2014-12-31T00:00:00;539.09;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2015-12-31T00:00:00;477.11;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2016-12-31T00:00:00;470.02;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2017-12-31T00:00:00;524.65;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2018-12-31T00:00:00;588.78;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2019-12-31T00:00:00;596.05;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2020-12-31T00:00:00;599.45;Yearly;WGDPPOLA;2022-12-30T12:46:00
Poland;GDP;2021-12-31T00:00:00;679.44;Yearly;WGDPPOLA;2022-12-30T12:46:00
