Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Poland;Money Supply M2;1996-12-31T00:00:00;140038.7;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-01-31T00:00:00;138755.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-02-28T00:00:00;141142.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-03-31T00:00:00;144080.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-04-30T00:00:00;147471.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-05-30T00:00:00;151110.6;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-06-30T00:00:00;154073.6;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-07-31T00:00:00;160056.3;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-08-29T00:00:00;162082.2;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-09-30T00:00:00;164710.2;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-10-31T00:00:00;169848.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-11-30T00:00:00;173093.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1997-12-31T00:00:00;179378.1;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-01-30T00:00:00;177942.6;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-02-28T00:00:00;180545.2;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-03-31T00:00:00;182904.3;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-04-30T00:00:00;185780.9;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-05-29T00:00:00;190926.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-06-30T00:00:00;195272.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-07-31T00:00:00;199468.2;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-08-31T00:00:00;204921.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-09-30T00:00:00;206446.6;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-10-30T00:00:00;207413.3;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-11-30T00:00:00;210561.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1998-12-31T00:00:00;223678.1;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-01-29T00:00:00;226255.6;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-02-28T00:00:00;233296.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-03-31T00:00:00;236660.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-04-30T00:00:00;236676.3;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-05-31T00:00:00;239913.2;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-06-30T00:00:00;242377;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-07-30T00:00:00;244091.2;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-08-31T00:00:00;247353.3;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-09-30T00:00:00;252022.4;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-10-29T00:00:00;256819.7;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-11-30T00:00:00;261352.7;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;1999-12-31T00:00:00;268700.5;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-01-31T00:00:00;260852.6;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-02-29T00:00:00;264431.9;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-03-31T00:00:00;269598.1;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-04-30T00:00:00;272969.7;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-05-31T00:00:00;276690.8;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-06-30T00:00:00;291693.4;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
Poland;Money Supply M2;2000-07-31T00:00:00;284257.7;Monthly;POLANDMONSUPM2;2015-01-11T20:32:00
