Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Sweden;Money Supply M2;1998-01-31T00:00:00;866171;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-02-28T00:00:00;840564;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-03-31T00:00:00;860182;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-04-30T00:00:00;859006;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-05-31T00:00:00;860771;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-06-30T00:00:00;871209;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-07-31T00:00:00;861701;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-08-31T00:00:00;875102;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-09-30T00:00:00;880147;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-10-31T00:00:00;872536;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-11-30T00:00:00;876396;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1998-12-31T00:00:00;887781;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-01-31T00:00:00;902424;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-02-28T00:00:00;892421;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-03-31T00:00:00;894623;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-04-30T00:00:00;888489;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-05-31T00:00:00;895380;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-06-30T00:00:00;898006;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-07-31T00:00:00;894198;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-08-31T00:00:00;911379;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-09-30T00:00:00;921677;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-10-31T00:00:00;956004;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-11-30T00:00:00;947459;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;1999-12-31T00:00:00;965538;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-01-31T00:00:00;975471;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-02-29T00:00:00;968803;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-03-31T00:00:00;986845;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-04-30T00:00:00;1002483;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-05-31T00:00:00;983642;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-06-30T00:00:00;980883;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-07-31T00:00:00;958386;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-08-31T00:00:00;986214;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
Sweden;Money Supply M2;2000-09-30T00:00:00;990896;Monthly;SWEDENMONSUPM2;2016-02-02T17:31:00
