Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Taiwan;GDP;1980-12-31T00:00:00;42.3;Yearly;TaiwanGDP;2016-01-21T12:37:00
Taiwan;GDP;1981-12-31T00:00:00;49;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1982-12-31T00:00:00;49.5;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1983-12-31T00:00:00;54.1;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1984-12-31T00:00:00;61.1;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1985-12-31T00:00:00;63.6;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1986-12-31T00:00:00;78.2;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1987-12-31T00:00:00;105;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1988-12-31T00:00:00;126.5;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1989-12-31T00:00:00;152.7;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1990-12-31T00:00:00;166.6;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1991-12-31T00:00:00;187.1;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1992-12-31T00:00:00;222.9;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1993-12-31T00:00:00;236.3;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1994-12-31T00:00:00;256.2;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1995-12-31T00:00:00;279.1;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1996-12-31T00:00:00;292.5;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1997-12-31T00:00:00;303.3;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1998-12-31T00:00:00;280;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;1999-12-31T00:00:00;303.8;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2000-12-31T00:00:00;330.7;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2001-12-31T00:00:00;299.3;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2002-12-31T00:00:00;307.4;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2003-12-31T00:00:00;317.4;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2004-12-31T00:00:00;346.9;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2005-12-31T00:00:00;374.1;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2006-12-31T00:00:00;386.5;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2007-12-31T00:00:00;406.9;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2008-12-31T00:00:00;415.9;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2009-12-31T00:00:00;390.8;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2010-12-31T00:00:00;444.3;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2011-12-31T00:00:00;484;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2012-12-31T00:00:00;495.6;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2013-12-31T00:00:00;512.9;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2014-12-31T00:00:00;535.3;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2015-12-31T00:00:00;534.5;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2016-12-31T00:00:00;543.1;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2017-12-31T00:00:00;590.7;Yearly;TaiwanGDP;2021-02-09T17:53:00
Taiwan;GDP;2018-12-31T00:00:00;609.2;Yearly;TaiwanGDP;2021-10-04T09:01:00
Taiwan;GDP;2019-12-31T00:00:00;611.4;Yearly;TaiwanGDP;2022-10-17T13:09:00
Taiwan;GDP;2020-12-31T00:00:00;669.3;Yearly;TaiwanGDP;2022-10-17T13:09:00
Taiwan;GDP;2021-12-31T00:00:00;774.7;Yearly;TaiwanGDP;2022-10-17T13:09:00
