Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Taiwan;Money Supply M2;1982-01-31T00:00:00;1149258;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-02-28T00:00:00;1150470;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-03-31T00:00:00;1160355;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-04-30T00:00:00;1168754;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-05-31T00:00:00;1185700;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-06-30T00:00:00;1211996;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-07-31T00:00:00;1255782;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-08-31T00:00:00;1275669;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-09-30T00:00:00;1295053;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-10-31T00:00:00;1316615;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-11-30T00:00:00;1336460;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1982-12-31T00:00:00;1354863;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-01-31T00:00:00;1394161;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-02-28T00:00:00;1455411;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-03-31T00:00:00;1470612;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-04-30T00:00:00;1486554;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-05-31T00:00:00;1514275;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-06-30T00:00:00;1549392;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-07-31T00:00:00;1593576;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-08-31T00:00:00;1612883;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-09-30T00:00:00;1643382;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-10-31T00:00:00;1666250;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-11-30T00:00:00;1690237;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1983-12-31T00:00:00;1726783;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-01-31T00:00:00;1787898;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-02-29T00:00:00;1832790;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-03-31T00:00:00;1838995;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-04-30T00:00:00;1849878;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-05-31T00:00:00;1880221;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-06-30T00:00:00;1911969;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-07-31T00:00:00;1958211;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-08-31T00:00:00;1982376;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-09-30T00:00:00;2016832;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-10-31T00:00:00;2040133;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-11-30T00:00:00;2064300;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1984-12-31T00:00:00;2092880;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-01-31T00:00:00;2138304;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-02-28T00:00:00;2207748;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-03-31T00:00:00;2232000;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-04-30T00:00:00;2248337;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-05-31T00:00:00;2272595;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-06-30T00:00:00;2275812;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-07-31T00:00:00;2341053;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-08-31T00:00:00;2373719;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-09-30T00:00:00;2423432;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-10-31T00:00:00;2461739;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-11-30T00:00:00;2501491;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1985-12-31T00:00:00;2544609;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-01-31T00:00:00;2619356;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-02-28T00:00:00;2706435;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-03-31T00:00:00;2696841;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-04-30T00:00:00;2714237;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-05-31T00:00:00;2728506;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-06-30T00:00:00;2773101;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-07-31T00:00:00;2837509;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-08-31T00:00:00;2894008;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-09-30T00:00:00;2959573;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-10-31T00:00:00;3014938;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
Taiwan;Money Supply M2;1986-11-30T00:00:00;3055355;Monthly;TAIWANMONSUPM2;2018-08-28T09:29:00
